Company Name,IDBB,CRI Company ID,Exchange Country,Domicile Country,Bloomberg Industry Code,Bloomberg Industry,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
Sociedad Punta del Cobre SA,163479,90860,Chile,Chile,10002,Basic Materials,0.482179045,0.362841436,0.312485883,0.277334934,0.367592534,0.509062413,0.728166737,0.687851823,0.616622725,0.561200428,0.555390584,0.509239694,0.427483972
Sociedad Pesquera Coloso,163481,90862,Chile,Chile,10005,Consumer Non-Cyclical,20.57200926,39.3333831,61.00024648,27.48187733,18.81548785,30.18982003,64.8719265,55.08081399,36.92866963,37.39023208,42.71320933,54.63888119,59.67017446
Soprocal Calerias e Industrias SA,163483,90864,Chile,Chile,10002,Basic Materials,40.08720672,4.704372665,3.676803233,2.698612866,2.914456402,3.508120089,4.571021851,4.244364674,4.120198824,4.012256777,4.050650482,3.921333787,3.726064947
Soquimich Comercial SA,163484,90865,Chile,Chile,10002,Basic Materials,17.93494822,17.74339097,16.90231212,15.83079196,21.34944059,29.67050029,40.23056448,35.55315923,31.09074499,26.7297881,24.04533771,22.16182593,20.19708688
Union Inmobiliaria SA,163491,90872,Chile,Chile,10008,Financial,9.62E-07,0.164726116,0.18488331,0.199267154,0.340177702,0.572075013,0.925540002,0.738725046,0.570244233,0.453048763,0.384592062,0.329023733,0.283426659
Vina San Pedro Tarapaca SA,163496,90877,Chile,Chile,10005,Consumer Non-Cyclical,0.120628952,0.124290739,0.065674647,0.045838878,0.061074971,0.073500695,0.078651855,0.054986428,0.039927016,0.02868022,0.019861264,0.0142432,0.010015645
Enjoy SA,16494367,90881,Chile,Chile,10004,Consumer Cyclical,102.4314967,97.90553556,98.22079326,102.5173513,163.1278259,256.0861424,386.4843254,346.0908668,304.9132097,264.6646001,249.9338096,232.4698369,214.946351
Zona Franca de Iquique SA,171001,90889,Chile,Chile,10008,Financial,0.027884312,0.044836946,0.048141957,0.049833809,0.074122406,0.108370513,0.173755136,0.14502035,0.126134635,0.124738106,0.115424436,0.105685665,0.097389814
Portuaria Cabo Froward SA,173064,90959,Chile,Chile,10005,Consumer Non-Cyclical,0.21436009,0.206265159,0.204354974,0.200162694,0.312971175,0.485528691,0.752788008,0.724488148,0.685646918,0.636709729,0.616582302,0.586673105,0.556671512
Duncan FOX SA,173336,91037,Chile,Chile,10005,Consumer Non-Cyclical,34.30927661,38.49458867,39.74797903,39.87782307,63.70486483,99.57584052,151.2765055,144.6297152,135.0463037,126.7029839,124.0000671,120.7606616,115.9429894
Schwager Energy SA,173382,91045,Chile,Chile,10002,Basic Materials,57.93976763,44.19550595,33.4837048,27.07835156,33.58672641,45.48857134,63.42836838,59.55593579,53.40853503,46.49388526,41.72556041,37.52181345,34.46261121
Empresas Hites SA,17577080,91148,Chile,Chile,10004,Consumer Cyclical,62.02765983,57.4789399,56.61178164,52.9898636,76.94042904,105.8762694,144.8785469,110.061833,86.81053915,69.08332554,62.02058344,56.64929157,51.07473217
Cruzados SADP,17580981,91149,Chile,Chile,10004,Consumer Cyclical,3.346155321,3.741539594,4.026245383,4.279149927,6.781534813,10.00420083,13.96447448,11.15618799,9.262638223,7.675887751,6.917047668,6.030674871,5.329336603
